Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Tot Cases/ 1M pop,
Croatia,38.00,6.00,,,1.00,37.00,,9.30
Peru,38.00,,,,,38.00,,1.20
South Africa,38.00,14.00,,,,38.00,,0.60
Palestine,38.00,3.00,,,,38.00,,7.40
Algeria,37.00,11.00,3.00,1.00,10.00,24.00,,0.80
Panama,36.00,9.00,1.00,,,35.00,,8.30
Argentina,34.00,,2.00,,,32.00,1.00,0.80
Pakistan,31.00,3.00,,,2.00,29.00,,0.10
Georgia,30.00,5.00,,,,30.00,1.00,7.50
Hungary,30.00,11.00,,,1.00,29.00,,3.10
Ecuador,28.00,5.00,1.00,,,27.00,1.00,1.60
Belarus,27.00,,,,3.00,24.00,,2.90
Latvia,26.00,9.00,,,1.00,25.00,,13.80
Mexico,26.00,11.00,,,4.00,22.00,1.00,0.20
Costa Rica,26.00,3.00,,,,26.00,1.00,5.10
Colombia,22.00,6.00,,,,22.00,,0.40
Senegal,21.00,,,,2.00,19.00,,1.30
Cyprus,21.00,7.00,,,,21.00,,17.40
Oman,19.00,,,,9.00,10.00,,3.70
Armenia,18.00,10.00,,,,18.00,,6.10
Tunisia,18.00,2.00,,,,18.00,2.00,1.50
Bosnia and Herzegovina,18.00,,,,,18.00,,5.50
Malta,18.00,6.00,,,1.00,17.00,,
Morocco,17.00,10.00,1.00,,1.00,15.00,1.00,0.50
Azerbaijan,15.00,,1.00,,3.00,11.00,,1.50
North Macedonia,13.00,,,,1.00,12.00,,6.20
Moldova,12.00,6.00,,,,12.00,,3.00
Afghanistan,11.00,4.00,,,,11.00,,0.30
Dominican Republic,11.00,6.00,,,,11.00,,1.00
Macao,10.00,,,,10.00,0.00,,
Sri Lanka,10.00,4.00,,,1.00,9.00,,0.50
Bolivia,10.00,,,,,10.00,,0.90
Maldives,10.00,1.00,,,,10.00,,
Martinique,10.00,7.00,,,,10.00,,
Faeroe Islands,9.00,6.00,,,,9.00,,
Lithuania,8.00,2.00,,,1.00,7.00,,2.90
Jamaica,8.00,,,,,8.00,,2.70
Cambodia,7.00,,,,1.00,6.00,,0.40
French Guiana,7.00,1.00,,,,7.00,,
Paraguay,7.00,1.00,,,,7.00,1.00,1.00
New Zealand,6.00,,,,,6.00,,1.20
Kazakhstan,6.00,2.00,,,,6.00,,0.30
Réunion,6.00,1.00,,,,6.00,,
Bangladesh,5.00,2.00,,,2.00,3.00,,
Turkey,5.00,,,,,5.00,,0.10
Cuba,4.00,,,,,4.00,,0.40
Liechtenstein,4.00,,,,,4.00,,
Uruguay,4.00,,,,,4.00,,1.20
Ukraine,3.00,,1.00,,,2.00,,0.10
Channel Islands,3.00,,,,,3.00,,
French Polynesia,3.00,,,,,3.00,,
Guadeloupe,3.00,2.00,,,,3.00,,
Honduras,3.00,1.00,,,,3.00,,0.30
Puerto Rico,3.00,,,,,3.00,,1.00
Monaco,2.00,,,,,2.00,,
Nigeria,2.00,,,,,2.00,,
Aruba,2.00,,,,,2.00,,
Burkina Faso,2.00,,,,,2.00,,0.10
Cameroon,2.00,,,,,2.00,,0.10
DRC,2.00,,,,,2.00,,
Ghana,2.00,,,,,2.00,,0.10
Namibia,2.00,2.00,,,,2.00,,0.80
Saint Martin,2.00,,,,,2.00,,
Trinidad and Tobago,2.00,1.00,,,,2.00,,1.40
Venezuela,2.00,,,,,2.00,,0.10
Guyana,1.00,,1.00,,,0.00,,
Sudan,1.00,,1.00,,,0.00,,
Andorra,1.00,,,,,1.00,,
Jordan,1.00,,,,1.00,0.00,,0.10
Nepal,1.00,,,,1.00,0.00,,
Antigua and Barbuda,1.00,,,,,1.00,,
Bhutan,1.00,,,,,1.00,,
Cayman Islands,1.00,,,,,1.00,,
Ivory Coast,1.00,,,,,1.00,,
Curaçao,1.00,,,,,1.00,,
Ethiopia,1.00,,,,,1.00,,
Gabon,1.00,,,,,1.00,,0.40
Gibraltar,1.00,,,,1.00,0.00,,
Guatemala,1.00,,,,,1.00,,0.10
Guinea,1.00,,,,,1.00,,0.10
Vatican City,1.00,,,,,1.00,,
Kenya,1.00,,,,,1.00,,
Mauritania,1.00,,,,,1.00,,0.20
Mayotte,1.00,1.00,,,,1.00,,
Mongolia,1.00,,,,,1.00,,0.30
Rwanda,1.00,1.00,,,,1.00,,0.10
St. Barth,1.00,,,,,1.00,,
Saint Lucia,1.00,,,,,1.00,,
St. Vincent Grenadines,1.00,,,,,1.00,,
Suriname,1.00,,,,,1.00,,
Eswatini,1.00,1.00,,,,1.00,,0.90
Togo,1.00,,,,,1.00,,0.10
U.S. Virgin Islands,1.00,1.00,,,,1.00,,
Total:,155840.00,10369.00,5814.00,398.00,74438.00,75588.00,5908.00,20.00
